CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,Age,Is_Retired,Years_Employed,Income_Per_Member
F,Y,Y,0,153500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,47.20876112251882,0,8.71731690622861,76750.0
F,N,Y,0,183500.0,Working,Higher education,Married,House / apartment,1,1,0,Unknown,2,24.249144421629023,0,1.7713894592744694,91750.0
F,Y,Y,1,82000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,Unknown,3,41.01848049281314,1,0.0,27333.333333333332
F,N,Y,2,162500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4,60.79397672826831,0,26.625598904859686,40625.0
F,Y,Y,1,186000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,Cleaning staff,2,35.24435318275154,0,11.277207392197125,93000.0
F,Y,Y,1,90500.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,1,Unknown,3,38.63107460643395,0,17.793292265571527,30166.666666666668
F,Y,Y,0,428500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Core staff,2,28.689938398357288,0,10.203969883641342,214250.0
M,Y,Y,2,222500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,Unknown,4,66.77618069815195,1,0.0,55625.0
F,Y,Y,0,127000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2,46.535249828884325,0,9.845311430527037,63500.0
F,N,Y,0,151000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2,44.21629021218344,1,0.0,75500.0
M,N,N,0,106500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2,51.58384668035592,0,22.302532511978097,53250.0
F,Y,Y,0,378000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Managers,2,25.560574948665298,0,1.5304585900068446,189000.0
F,N,Y,2,150000.0,State servant,Higher education,Married,House / apartment,0,0,0,High skill tech staff,4,48.27926078028747,0,21.639972621492127,37500.0
F,N,N,0,122500.0,Pensioner,Secondary / secondary special,Married,With parents,0,0,0,Laborers,2,41.492128678986994,0,2.940451745379877,61250.0
M,N,Y,2,166500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Drivers,4,31.288158795345655,0,3.980835044490075,41625.0
F,N,Y,2,104000.0,Working,Higher education,Married,House / apartment,0,0,0,Laborers,4,27.64955509924709,0,5.319644079397673,26000.0
F,N,Y,2,47500.0,Commercial associate,Secondary / secondary special,Married,With parents,0,0,1,Laborers,4,63.26351813826147,0,10.822724161533197,11875.0
M,N,Y,0,175000.0,State servant,Secondary / secondary special,Separated,House / apartment,0,0,0,Accountants,1,58.29705681040383,0,6.291581108829569,175000.0
F,N,Y,3,288500.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,1,Unknown,5,64.95003422313484,0,22.759753593429156,57700.0
F,Y,Y,1,348500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,3,44.04380561259411,1,0.0,116166.66666666667
M,N,Y,0,279000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2,30.253251197809718,0,6.165639972621492,139500.0
F,N,N,1,89500.0,Pensioner,Higher education,Married,House / apartment,0,0,0,Unknown,3,31.65776865160849,1,0.0,29833.333333333332
M,N,N,0,147500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,High skill tech staff,2,63.63860369609856,0,18.38740588637919,73750.0
F,N,N,0,181000.0,Working,Higher education,Married,House / apartment,0,0,0,Core staff,2,26.965092402464066,0,1.787816563997262,90500.0
F,Y,Y,0,153500.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,Unknown,2,53.82067077344285,0,26.217659137577,76750.0
M,N,Y,1,279500.0,Working,Secondary / secondary special,Widow,House / apartment,0,1,0,Unknown,2,31.89596167008898,0,6.324435318275154,139750.0
F,N,Y,1,139500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Unknown,3,29.815195071868583,0,4.459958932238193,46500.0
M,N,Y,0,245500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,1,24.79671457905544,0,4.892539356605065,245500.0
F,N,Y,3,219000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Sales staff,5,26.562628336755647,0,2.9322381930184807,43800.0
M,N,Y,4,84500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Unknown,6,47.22245037645448,0,11.994524298425736,14083.333333333334
M,Y,Y,0,94500.0,Working,Secondary / secondary special,Married,With parents,1,0,0,Laborers,2,43.436002737850785,0,25.385352498288842,47250.0
M,N,Y,0,384000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2,38.06981519507187,0,15.942505133470226,192000.0
F,Y,Y,0,125000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Unknown,2,50.64202600958248,0,20.605065023956193,62500.0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,High skill tech staff,1,61.81519507186858,0,5.757700205338809,135000.0
F,N,Y,0,198500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2,22.830937713894592,0,4.068446269678303,99250.0
F,Y,Y,1,204000.0,Pensioner,Higher education,Married,With parents,0,1,0,Unknown,3,53.32511978097194,1,0.0,68000.0
F,N,Y,0,180500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Core staff,2,59.13757700205339,0,13.494866529774127,90250.0
F,Y,Y,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2,34.75427789185489,1,0.0,81000.0
M,Y,N,0,203500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Unknown,2,58.888432580424364,0,3.838466803559206,101750.0
M,N,Y,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Managers,2,22.902121834360027,0,1.6098562628336757,72000.0
M,N,Y,0,186500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,2,52.120465434633815,0,1.7193702943189597,93250.0
