ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5987231,M,N,N,0,193500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23966,-16686,1,0,0,1,,2
5079954,F,N,N,4,554500.0,Working,Higher education,Separated,House / apartment,-20800,-13353,1,0,0,0,Laborers,5
5567130,M,N,N,0,96000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22263,-9434,1,0,0,0,Core staff,2
5500891,M,N,N,2,74500.0,State servant,Higher education,Married,House / apartment,-11900,-4053,1,0,0,0,Laborers,4
5055399,F,N,Y,2,246000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-10866,-1994,1,0,0,0,Sales staff,4
5135049,F,N,Y,0,140500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-14187,365243,1,1,1,0,,2
5733378,M,Y,Y,1,145000.0,Working,Secondary / secondary special,Married,House / apartment,-23774,-10584,1,0,0,0,Drivers,3
5732057,F,Y,Y,0,259500.0,Pensioner,Higher education,Married,House / apartment,-9562,365243,1,0,0,0,,2
5051333,M,N,Y,0,204500.0,Working,Higher education,Single / not married,House / apartment,-15826,-880,1,0,1,0,Sales staff,1
5731479,F,N,Y,1,326000.0,Working,Secondary / secondary special,Married,House / apartment,-14297,-4738,1,0,0,0,,3
5399758,F,N,Y,1,134000.0,Working,Higher education,Married,House / apartment,-24268,-341,1,0,1,1,Laborers,3
5401397,F,N,Y,0,260000.0,Working,Higher education,Married,Municipal apartment,-14162,-5906,1,0,0,0,Managers,2
5855485,M,N,Y,0,155500.0,Working,Secondary / secondary special,Married,House / apartment,-23917,-1700,1,0,0,0,,2
5858884,M,N,Y,0,39000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-21335,-3284,1,0,0,0,,2
5503247,F,Y,N,0,219000.0,Working,Secondary / secondary special,Married,House / apartment,-16341,-6224,1,0,0,0,,2
5864741,M,N,Y,1,90500.0,Working,Secondary / secondary special,Married,House / apartment,-17132,-9468,1,1,0,0,High skill tech staff,3
5035032,F,Y,N,0,112000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12927,365243,1,0,1,0,,2
5995703,M,N,Y,2,85000.0,Commercial associate,Secondary / secondary special,Married,With parents,-23945,-14242,1,0,0,0,Laborers,4
5376761,F,N,Y,0,125000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15618,365243,1,0,1,0,,1
5811353,F,N,N,0,100500.0,State servant,Secondary / secondary special,Married,House / apartment,-13822,-6595,1,1,0,0,Laborers,2
5577745,M,Y,N,0,141000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20957,-4997,1,0,0,0,Laborers,2
5659806,M,Y,Y,0,104000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11386,-3379,1,1,0,0,Managers,2
5219339,F,Y,N,2,161000.0,Pensioner,Higher education,Civil marriage,Co-op apartment,-23429,365243,1,0,1,0,,4
5979755,F,N,N,0,166000.0,Working,Secondary / secondary special,Married,House / apartment,-18533,-5369,1,0,0,0,Cleaning staff,2
5625691,F,N,N,0,204000.0,Working,Secondary / secondary special,Married,House / apartment,-21182,-5270,1,0,1,0,,2
5215339,F,Y,Y,0,98000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15567,-4168,1,1,0,0,Laborers,2
5443417,F,N,Y,2,121500.0,Working,Secondary / secondary special,Married,House / apartment,-10978,-371,1,1,0,0,,4
5980328,F,N,Y,0,156500.0,Working,Secondary / secondary special,Separated,House / apartment,-12343,-699,1,0,0,0,,1
5336983,F,Y,N,0,73000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-15462,-5261,1,0,0,0,Laborers,1
5518812,F,N,Y,1,262000.0,Commercial associate,Higher education,Married,Municipal apartment,-9663,-1814,1,0,0,0,Sales staff,3
5943378,F,Y,Y,1,93000.0,Working,Secondary / secondary special,Married,House / apartment,-20331,-10122,1,0,0,0,Laborers,3
5002085,F,Y,Y,0,95000.0,Working,Secondary / secondary special,Married,House / apartment,-16735,-3519,1,0,0,0,,2
5663615,M,N,Y,2,225000.0,Working,Incomplete higher,Married,House / apartment,-10156,-1288,1,0,0,0,Laborers,4
5677814,M,Y,Y,0,93500.0,Working,Secondary / secondary special,Married,House / apartment,-10766,-949,1,0,0,1,,2
5957737,F,N,Y,2,120500.0,State servant,Higher education,Single / not married,House / apartment,-21312,-215,1,0,1,0,Laborers,3
5543082,M,Y,Y,0,184500.0,Working,Secondary / secondary special,Married,House / apartment,-11790,-235,1,0,0,0,Drivers,2
5529927,F,Y,Y,2,199000.0,Working,Secondary / secondary special,Married,House / apartment,-11022,-3655,1,0,0,0,Core staff,4
5066336,M,N,Y,0,178500.0,Working,Higher education,Married,House / apartment,-16524,-1461,1,1,0,0,Core staff,2
5272966,F,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,With parents,-21074,-6385,1,0,0,0,Laborers,2
5876375,F,Y,N,2,162500.0,Working,Secondary / secondary special,Married,House / apartment,-12938,-2232,1,1,0,0,Laborers,4
5443181,F,N,Y,0,145000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20756,-11864,1,0,1,0,Managers,2
5038747,F,N,Y,0,179000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18847,-9330,1,0,0,0,Sales staff,2
5244518,F,N,Y,0,113500.0,Working,Secondary / secondary special,Married,House / apartment,-11361,-57,1,0,0,0,Core staff,2
5321941,M,Y,N,0,145500.0,Working,Higher education,Civil marriage,House / apartment,-16402,-8665,1,0,0,0,Core staff,2
5212423,F,N,Y,0,238000.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-18835,365243,1,0,0,0,,1
5684487,F,N,Y,1,243000.0,Pensioner,Higher education,Married,House / apartment,-17384,-83,1,0,0,0,,3
5460021,M,Y,Y,0,151500.0,Working,Secondary / secondary special,Married,House / apartment,-18291,-7869,1,0,0,0,,2
5330797,M,N,Y,0,140000.0,Working,Secondary / secondary special,Married,House / apartment,-18692,-10932,1,1,1,0,Core staff,2
5820287,F,Y,Y,0,282000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23877,-12353,1,0,1,0,Laborers,1
5934968,F,N,Y,0,159500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21296,-12616,1,0,0,0,Managers,2
5878902,F,N,Y,1,546500.0,Working,Higher education,Married,House / apartment,-9962,-2781,1,0,0,0,Cooking staff,3
5507014,M,N,Y,0,127000.0,Commercial associate,Higher education,Married,With parents,-23738,-13259,1,0,0,0,Accountants,2
5063468,F,Y,N,0,80000.0,Working,Secondary / secondary special,Married,House / apartment,-13443,-5113,1,0,1,0,Laborers,2
5568670,M,Y,N,0,166000.0,Commercial associate,Higher education,Married,House / apartment,-11498,-3200,1,0,0,0,Laborers,2
5855771,F,Y,N,0,251000.0,Commercial associate,Higher education,Married,House / apartment,-11372,-2727,1,0,0,0,,2
5606372,F,N,N,0,125500.0,Working,Secondary / secondary special,Married,House / apartment,-12890,-1414,1,0,1,0,,2
5358900,M,Y,Y,0,422000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11845,-3268,1,0,0,0,Managers,1
5178392,F,Y,N,0,79500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-17314,-1201,1,0,0,0,Laborers,1
5921914,M,Y,N,1,368500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22689,-5986,1,0,0,0,,3
5348365,F,Y,Y,0,90500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-9283,365243,1,0,0,0,,2
5377482,F,Y,Y,1,149000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13638,-4178,1,1,0,0,Laborers,3
5044792,M,N,Y,0,87500.0,Working,Secondary / secondary special,Married,House / apartment,-17133,-3265,1,0,0,0,Managers,2
5690927,M,N,Y,1,67000.0,Working,Secondary / secondary special,Married,House / apartment,-23629,-14474,1,0,0,0,Managers,3
5050313,F,N,Y,0,91500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14938,-4380,1,1,1,0,Core staff,1
5780881,M,Y,Y,0,323500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23740,365243,1,1,1,0,,2
5018958,F,N,Y,0,69000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15905,-8500,1,0,0,0,Laborers,2
5804703,M,Y,Y,2,211000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12875,365243,1,0,0,0,,4
5008985,F,N,N,0,77500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-16510,-1548,1,1,0,0,High skill tech staff,1
5099901,F,Y,Y,2,208500.0,Working,Secondary / secondary special,Married,House / apartment,-21617,-6800,1,0,0,0,Drivers,4
5655318,F,N,N,0,145500.0,Working,Secondary / secondary special,Married,House / apartment,-10982,-3572,1,0,0,0,Cooking staff,2
5224928,M,N,Y,0,220500.0,Working,Secondary / secondary special,Married,House / apartment,-8432,-428,1,0,0,0,Sales staff,2
5926625,F,Y,N,3,69500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11531,-2357,1,0,0,1,,4
5067898,F,N,Y,1,84000.0,Commercial associate,Incomplete higher,Married,House / apartment,-12495,-4173,1,1,1,0,Managers,3
5068878,M,Y,Y,0,128500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-8524,-234,1,0,0,0,,2
5904484,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-22508,-11699,1,0,1,0,Laborers,2
5244299,M,N,Y,0,258500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20698,-8411,1,1,1,0,Laborers,2
5912237,M,Y,N,0,203500.0,Working,Secondary / secondary special,Married,House / apartment,-21509,-1402,1,0,1,0,,2
5803684,F,N,Y,0,171500.0,Working,Secondary / secondary special,Married,House / apartment,-22488,-8914,1,0,0,0,,2
5444936,F,N,Y,1,201000.0,Pensioner,Secondary / secondary special,Widow,With parents,-14721,365243,1,1,1,0,,2
5895958,F,Y,Y,1,273000.0,Working,Secondary / secondary special,Married,House / apartment,-17204,-10016,1,0,0,1,Drivers,3
5858828,F,Y,Y,0,229500.0,Working,Secondary / secondary special,Married,Office apartment,-22559,-12107,1,1,0,0,,2
5575347,F,Y,Y,0,97000.0,Working,Secondary / secondary special,Married,House / apartment,-18570,-7232,1,1,0,0,,2
5464016,M,Y,Y,0,189500.0,Working,Secondary / secondary special,Married,House / apartment,-10661,-2140,1,0,0,0,,2
5196829,M,N,Y,0,159000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16705,-7741,1,0,0,0,Core staff,2
5309023,F,N,N,0,159500.0,Working,Higher education,Married,House / apartment,-22384,-2716,1,0,0,0,,2
5347381,M,N,N,0,61500.0,Working,Secondary / secondary special,Married,House / apartment,-21467,-14803,1,1,0,0,Sales staff,2
5310804,F,N,Y,0,176500.0,Working,Higher education,Married,House / apartment,-22664,-7778,1,0,1,0,Accountants,2
5837523,F,N,N,0,205000.0,Working,Secondary / secondary special,Married,House / apartment,-24182,-13872,1,0,0,0,High skill tech staff,2
5268240,F,Y,N,0,150000.0,Working,Higher education,Married,House / apartment,-23154,-1336,1,0,1,0,High skill tech staff,2
5366137,F,N,N,1,286000.0,Working,Higher education,Single / not married,House / apartment,-21560,-4533,1,0,0,0,Laborers,2
5449596,M,Y,N,0,249000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17825,-1017,1,0,0,0,Laborers,2
5586917,F,N,Y,0,332500.0,Working,Secondary / secondary special,Married,House / apartment,-8281,-58,1,0,0,0,,2
5980753,F,Y,Y,0,177000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22509,365243,1,0,0,0,,2
5051662,M,Y,Y,1,226500.0,Working,Higher education,Married,House / apartment,-18093,-10909,1,0,1,0,Core staff,3
5892873,F,N,N,0,123500.0,Working,Higher education,Married,House / apartment,-11116,-616,1,1,0,0,Medicine staff,2
5576798,F,N,Y,0,57000.0,State servant,Secondary / secondary special,Married,House / apartment,-13861,-5761,1,0,0,1,,2
5480866,M,Y,Y,0,131000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10413,365243,1,0,0,0,,2
5550670,M,N,Y,0,171000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16936,365243,1,1,0,0,,2
5584291,M,N,Y,2,119000.0,Working,Secondary / secondary special,Married,House / apartment,-12483,-3358,1,0,0,0,Managers,4
5362131,M,Y,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23139,-2939,1,0,0,0,Drivers,1
5033319,F,N,N,0,128000.0,Working,Lower secondary,Separated,House / apartment,-21670,-5934,1,0,0,0,Medicine staff,1
5215537,M,N,N,1,141000.0,Pensioner,Secondary / secondary special,Married,With parents,-10583,-666,1,0,0,0,Laborers,3
5126314,F,Y,Y,0,255500.0,Working,Secondary / secondary special,Married,House / apartment,-13950,-3943,1,0,0,0,Laborers,2
5460373,M,Y,N,0,83000.0,Commercial associate,Higher education,Married,House / apartment,-20287,-5687,1,0,0,0,Drivers,2
5489379,F,Y,Y,0,99500.0,State servant,Secondary / secondary special,Separated,Municipal apartment,-13801,-705,1,0,0,0,Laborers,1
5063224,M,Y,N,0,79500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-19693,-7071,1,0,0,0,,1
5965339,F,N,N,0,122000.0,State servant,Higher education,Civil marriage,House / apartment,-18442,-9184,1,0,1,0,Laborers,2
5779635,F,Y,Y,0,249500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18525,365243,1,1,0,0,,2
5695825,M,Y,Y,0,173500.0,State servant,Secondary / secondary special,Married,House / apartment,-19748,-7471,1,0,1,0,Accountants,2
5561880,M,N,Y,0,96000.0,Pensioner,Higher education,Single / not married,House / apartment,-23914,-15036,1,0,0,0,Managers,1
5279994,F,Y,Y,0,131500.0,Working,Secondary / secondary special,Married,House / apartment,-7895,-392,1,0,0,0,,2
5876144,F,Y,Y,0,221500.0,Working,Secondary / secondary special,Married,House / apartment,-9263,-1297,1,0,0,0,Core staff,2
5571749,M,Y,N,0,85000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19973,365243,1,0,0,0,,2
5435458,F,Y,Y,2,215000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-9060,-78,1,1,0,0,Drivers,4
5256147,M,Y,Y,2,164000.0,Working,Higher education,Widow,House / apartment,-9523,-2375,1,1,1,0,Managers,3
5527943,F,Y,N,0,92500.0,Working,Secondary / secondary special,Married,House / apartment,-8795,-303,1,0,0,0,,2
5330301,M,Y,Y,0,96000.0,Working,Secondary / secondary special,Married,House / apartment,-16082,-9313,1,0,0,0,,2
5872559,F,Y,N,0,179000.0,Working,Secondary / secondary special,Widow,House / apartment,-15425,-1889,1,0,0,0,,1
5069254,M,N,Y,1,433000.0,Working,Secondary / secondary special,Married,With parents,-19403,-5973,1,0,0,1,Private service staff,3
5678875,F,N,Y,0,104500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-21832,-13863,1,0,0,0,Managers,1
5275405,M,N,Y,0,66000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-9509,-1111,1,0,0,0,Laborers,2
