ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,Approval_Status,Age,Is_Retired,Years_Employed,Income_Per_Member
5987231,M,N,N,0,193500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Unknown,2,1,65.61533196440794,0,45.68377823408624,96750.0
5079954,F,N,N,4,554500.0,Working,Higher education,Separated,House / apartment,0,0,0,Laborers,5,1,56.94729637234771,0,36.558521560574945,110900.0
5567130,M,N,N,0,96000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2,1,60.95277207392197,0,25.828884325804243,48000.0
5500891,M,N,N,2,74500.0,State servant,Higher education,Married,House / apartment,0,0,0,Laborers,4,0,32.580424366872,0,11.096509240246407,18625.0
5055399,F,N,Y,2,246000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0,0,0,Sales staff,4,1,29.749486652977414,0,5.45927446954141,61500.0
5135049,F,N,Y,0,140500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,1,0,Unknown,2,0,38.841889117043124,1,0.0,70250.0
5733378,M,Y,Y,1,145000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3,1,65.08966461327857,0,28.97741273100616,48333.333333333336
5732057,F,Y,Y,0,259500.0,Pensioner,Higher education,Married,House / apartment,0,0,0,Unknown,2,1,26.17932922655715,1,0.0,129750.0
5051333,M,N,Y,0,204500.0,Working,Higher education,Single / not married,House / apartment,0,1,0,Sales staff,1,1,43.32922655715264,0,2.409308692676249,204500.0
5731479,F,N,Y,1,326000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,3,1,39.14305270362765,0,12.971937029431896,108666.66666666667
5399758,F,N,Y,1,134000.0,Working,Higher education,Married,House / apartment,0,1,1,Laborers,3,0,66.44216290212184,0,0.9336071184120466,44666.666666666664
5401397,F,N,Y,0,260000.0,Working,Higher education,Married,Municipal apartment,0,0,0,Managers,2,1,38.77344284736482,0,16.16974674880219,130000.0
5855485,M,N,Y,0,155500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2,0,65.48117727583846,0,4.654346338124572,77750.0
5858884,M,N,Y,0,39000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Unknown,2,1,58.41204654346338,0,8.991101984941821,19500.0
5503247,F,Y,N,0,219000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2,1,44.73921971252567,0,17.0403832991102,109500.0
5864741,M,N,Y,1,90500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,High skill tech staff,3,1,46.90485968514716,0,25.921971252566735,30166.666666666668
5035032,F,Y,N,0,112000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,Unknown,2,0,35.39219712525667,1,0.0,56000.0
5995703,M,N,Y,2,85000.0,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,Laborers,4,0,65.55783709787816,0,38.992470910335385,21250.0
5376761,F,N,Y,0,125000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Unknown,1,1,42.75975359342916,1,0.0,125000.0
5811353,F,N,N,0,100500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2,0,37.842573579739906,0,18.05612594113621,50250.0
5577745,M,Y,N,0,141000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,1,57.37713894592745,0,13.681040383299111,70500.0
5659806,M,Y,Y,0,104000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,Managers,2,1,31.173169062286107,0,9.25119780971937,52000.0
5219339,F,Y,N,2,161000.0,Pensioner,Higher education,Civil marriage,Co-op apartment,0,1,0,Unknown,4,0,64.145106091718,1,0.0,40250.0
5979755,F,N,N,0,166000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,2,0,50.74058863791923,0,14.699520876112253,83000.0
