ID,MONTHS_BALANCE,STATUS
5987231,-51,X
5987231,-50,X
5987231,-49,X
5987231,-48,X
5987231,-47,0
5987231,-46,C
5987231,-45,C
5987231,-44,C
5987231,-43,C
5987231,-42,X
5987231,-41,C
5987231,-40,X
5987231,-39,C
5987231,-38,X
5987231,-37,C
5987231,-36,X
5987231,-35,C
5987231,-34,C
5987231,-33,C
5987231,-32,C
5987231,-31,C
5987231,-30,X
5987231,-29,X
5987231,-28,C
5987231,-27,C
5987231,-26,C
5987231,-25,X
5987231,-24,C
5987231,-23,X
5987231,-22,X
5987231,-21,C
5987231,-20,X
5987231,-19,X
5987231,-18,C
5987231,-17,C
5987231,-16,C
5987231,-15,C
5987231,-14,X
5987231,-13,X
5987231,-12,C
5987231,-11,X
5987231,-10,C
5987231,-9,C
5987231,-8,0
5987231,-7,X
5987231,-6,C
5987231,-5,C
5987231,-4,C
5987231,-3,C
5987231,-2,0
5987231,-1,C
5987231,0,C
5079954,-24,X
5079954,-23,X
5079954,-22,C
5079954,-21,C
5079954,-20,0
5079954,-19,0
5079954,-18,0
5079954,-17,X
5079954,-16,C
5079954,-15,X
5079954,-14,C
5079954,-13,C
5079954,-12,C
5079954,-11,C
5079954,-10,C
5079954,-9,X
5079954,-8,C
5079954,-7,C
5079954,-6,0
5079954,-5,C
5079954,-4,0
5079954,-3,X
5079954,-2,X
5079954,-1,0
5079954,0,X
5567130,-26,X
5567130,-25,C
5567130,-24,C
5567130,-23,C
5567130,-22,X
5567130,-21,0
5567130,-20,C
5567130,-19,C
5567130,-18,0
5567130,-17,C
5567130,-16,C
5567130,-15,0
5567130,-14,1
5567130,-13,X
5567130,-12,X
5567130,-11,X
5567130,-10,X
5567130,-9,C
5567130,-8,0
5567130,-7,C
5567130,-6,C
5567130,-5,C
5567130,-4,X
5567130,-3,X
5567130,-2,C
5567130,-1,0
5567130,0,C
5500891,-49,0
5500891,-48,C
5500891,-47,1
5500891,-46,0
5500891,-45,X
5500891,-44,C
5500891,-43,C
5500891,-42,0
5500891,-41,C
5500891,-40,C
5500891,-39,5
5500891,-38,C
